epoch,cur_lr,train_loss,val_loss,acc
0,0.001,1.891800903,1.804422324,0.169696972
1,0.001,1.777254987,1.73031497,0.220454544
2,0.001,1.73468434,1.645340627,0.594696999
3,0.001,1.610437793,1.531065865,0.595454574
4,0.001,1.203463071,4.699219159,0.544696987
5,0.001,2.673858402,1.064741395,0.574999988
6,0.001,1.19547961,1.957787655,0.581818163
7,0.001,1.466157338,1.088186926,0.593181789
8,0.001,1.269863164,0.943562938,0.62954545
9,0.001,1.106187179,0.899796811,0.640909076
10,0.001,0.88785788,0.815134758,0.658333361
11,0.001,0.868077329,0.799544273,0.6280303
12,0.001,0.845024223,0.726134041,0.718181789
13,0.001,0.743215552,0.695181978,0.721969724
14,0.001,0.745965304,0.653926368,0.76060605
15,0.001,0.661890463,0.624730913,0.763636351
16,0.001,0.631027071,0.599102261,0.7590909
17,0.001,0.612439707,0.563531183,0.783333361
18,0.001,0.564357847,0.555687088,0.809848487
19,0.001,0.531576245,0.524816861,0.822727263
20,0.001,0.476328357,0.681448175,0.7439394
21,0.001,0.520342748,0.502740653,0.831818163
22,0.001,0.437062126,0.460423171,0.843939424
23,0.001,0.396285945,0.464095251,0.852272749
24,0.001,0.365924984,0.449166182,0.862121224
25,0.001,0.33529853,0.432573822,0.875
26,0.001,0.315952567,0.435534739,0.887121201
27,0.001,0.285053074,0.404123883,0.892424226
28,0.001,0.272611901,0.388151927,0.904545426
29,0.001,0.240036415,0.576731214,0.803787887
30,0.001,0.288344325,0.357914371,0.896969676
31,0.001,0.244570736,0.394284997,0.880303025
32,0.001,0.25130005,0.395302183,0.903787851
33,0.0006,0.208127334,0.387976805,0.907575786
34,0.0006,0.182121501,0.379916621,0.910606086
35,0.0006,0.175676926,0.380841156,0.914393961
36,0.0006,0.172062593,0.371268927,0.920454562
37,0.0006,0.164046687,0.382263674,0.919696987
38,0.0006,0.159786399,0.366310186,0.922727287
39,0.0006,0.149214166,0.340148542,0.925757587
40,0.0006,0.144106567,0.333041955,0.926515162
41,0.0006,0.139565673,0.345576635,0.926515162
42,0.0006,0.134676227,0.347740356,0.928030312
43,0.0006,0.127058718,0.363330594,0.927272737
44,0.0006,0.116913041,0.359689851,0.930303037
45,0.0006,0.131288597,0.361011034,0.928030312
